t,S
0.0,1.0
0.001,0.9989390033426271
0.002,0.9978789537787977
0.003,0.9968198501568355
0.004,0.9957616913258578
0.005,0.9947044761357734
0.006,0.9936482034372817
0.007,0.9925928720818711
0.008,0.9915384809218178
0.009000000000000001,0.9904850288101844
0.01,0.9894325146008184
0.011,0.9883809371483507
0.012,0.9873302953081949
0.013000000000000001,0.9862805879365453
0.014,0.9852318138903755
0.015,0.9841839720274376
0.016,0.9831370612062602
0.017,0.9820910802861477
0.018000000000000002,0.9810460281271782
0.019,0.9800019035902028
0.02,0.9789587055368437
0.021,0.9779164328294934
0.022,0.9768750843313126
0.023,0.9758346589062298
0.024,0.9747951554189389
0.025,0.9737565727348987
0.026000000000000002,0.9727189097203311
0.027,0.97168216524222
0.028,0.9706463381683094
0.029,0.9696114273671028
0.03,0.9685774317078614
0.031,0.9675443500606027
0.032,0.9665121812960995
0.033,0.9654809242858781
0.034,0.9644505779022172
0.035,0.9634211410181468
0.036000000000000004,0.9623926125074462
0.037,0.9613649912446433
0.038,0.9603382761050127
0.039,0.9593124659645749
0.04,0.9582875597000945
0.041,0.9572635561890791
0.042,0.9562404543097779
0.043000000000000003,0.9552182529411802
0.044,0.9541969509630144
0.045,0.9531765472557463
0.046,0.9521570407005779
0.047,0.9511384301794462
0.048,0.9501207145750216
0.049,0.9491038927707065
0.05,0.9480879636506345
0.051000000000000004,0.9470729260996685
0.052000000000000005,0.9460587790033996
0.053,0.9450455212481457
0.054,0.9440331517209499
0.055,0.94302166930958
0.056,0.9420110729025261
0.057,0.9410013613889999
0.058,0.9399925336589334
0.059000000000000004,0.9389845886029772
0.06,0.9379775251124993
0.061,0.9369713420795841
0.062,0.9359660383970305
0.063,0.934961612958351
0.064,0.9339580646577701
0.065,0.9329553923902232
0.066,0.931953595051355
0.067,0.9309526715375186
0.068,0.9299526207457736
0.069,0.9289534415738852
0.07,0.9279551329203227
0.07100000000000001,0.9269576936842583
0.07200000000000001,0.9259611227655655
0.073,0.9249654190648182
0.074,0.9239705814832888
0.075,0.9229766089229474
0.076,0.9219835002864604
0.077,0.9209912544771887
0.078,0.919999870399187
0.079,0.919009346957202
0.08,0.9180196830566716
0.081,0.9170308776037228
0.082,0.9160429295051713
0.083,0.9150558376685194
0.084,0.9140696010019551
0.085,0.9130842184143507
0.08600000000000001,0.9120996888152615
0.08700000000000001,0.9111160111149241
0.088,0.9101331842242559
0.089,0.9091512070548531
0.09,0.9081700785189893
0.091,0.907189797529615
0.092,0.9062103630003555
0.093,0.9052317738455097
0.094,0.904254028980049
0.095,0.9032771273196162
0.096,0.9023010677805234
0.097,0.9013258492797518
0.098,0.9003514707349491
0.099,0.8993779310644294
0.1,0.8984052291871711
0.101,0.897433364022816
0.10200000000000001,0.8964623344916677
