id,m,a,mother
0.0,1.9,0.02,0.0
2.0,1.8945808832470639,0.003493352707449552,0.0
3.0,1.9331368375626083,0.007804723883160674,0.0
4.0,1.8992935155842556,0.058542134172558796,0.0
5.0,1.8994330442566223,0.009426197847610776,2.0
6.0,1.8893585824991577,0.003896432164500292,5.0
7.0,1.8858610847952455,0.06345516692996245,0.0
8.0,1.8717712420354398,0.01780164298487595,2.0
9.0,1.8784828740850117,-0.020737756166969542,0.0
10.0,1.904307482191914,0.03520735747452426,0.0
11.0,1.8508184695885503,0.02781824166463954,2.0
12.0,1.98172305402945,0.017629525783806,3.0
13.0,1.8825518293841763,0.03326394796015002,8.0
14.0,1.8581960789309173,0.017139309306769428,13.0
15.0,1.8766920880020965,0.03228238513330838,14.0
16.0,1.8987224431080647,0.04251567281923445,2.0
17.0,1.9064186570294435,-0.018121280916977744,0.0
18.0,1.8959452356202406,0.0061863414701616715,2.0
19.0,1.9081233211512505,-0.01101899873865999,6.0
20.0,1.9164823834471614,0.02607721731139841,0.0
