t,S
10.0,1.0
10.001,0.9988071326808122
10.002,0.9977432318277712
10.003,0.9966802734288093
10.004,0.9956182563233048
10.005,0.9945571793514154
10.006,0.9934970413540816
10.007,0.992437841173014
10.008000000000001,0.9913795776506984
10.009,0.990322249630399
10.01,0.9892658559561466
10.011000000000001,0.988210395472742
10.012,0.9871558670257612
10.013,0.9861022694615419
10.014,0.9850496016271902
10.015,0.9839978623705753
10.016,0.9829470505403353
10.017,0.981897164985865
10.018,0.98084820455732
10.019,0.9798001681056209
10.02,0.9787530544824405
10.021,0.9777068625402087
10.022,0.9766615911321156
10.023,0.9756172391121001
10.024000000000001,0.9745738053348533
10.025,0.9735312886558231
10.026,0.9724896879312015
10.027000000000001,0.9714490020179289
10.028,0.9704092297736984
10.029,0.9693703700569426
10.03,0.9683324217268408
10.031,0.9672953836433129
10.032,0.966259254667026
10.033,0.9652240336593817
10.034,0.9641897194825203
10.035,0.9631563109993251
10.036,0.9621238070734096
10.037,0.9610922065691222
10.038,0.9600615083515499
10.039,0.9590317112865061
10.040000000000001,0.9580028142405346
10.041,0.956974816080914
10.042,0.9559477156756448
10.043000000000001,0.9549215118934546
10.044,0.9538962036038009
10.045,0.9528717896768594
10.046,0.9518482689835301
10.047,0.9508256403954323
10.048,0.9498039027849099
10.049,0.9487830550250199
10.05,0.9477630959895359
10.051,0.9467440245529525
10.052,0.945725839590473
10.053,0.9447085399780134
10.054,0.9436921245922066
10.055,0.9426765923103901
10.056000000000001,0.9416619420106099
10.057,0.940648172571625
10.058,0.9396352828728947
10.059000000000001,0.9386232717945829
10.06,0.9376121382175624
10.061,0.9366018810234022
10.062,0.9355924990943739
10.063,0.9345839913134462
10.064,0.933576356564291
10.065,0.9325695937312717
10.066,0.9315637016994462
10.067,0.930558679354572
10.068,0.9295545255830935
10.069,0.928551239272146
10.07,0.9275488193095601
10.071,0.9265472645838493
10.072000000000001,0.925546573984214
10.073,0.9245467464005459
10.074,0.9235477807234153
10.075000000000001,0.9225496758440755
10.076,0.9215524306544672
10.077,0.9205560440472055
10.078,0.9195605149155864
10.079,0.9185658421535818
10.08,0.917572024655845
10.081,0.9165790613176988
10.082,0.9155869510351399
10.083,0.9145956927048421
10.084,0.913605285224145
10.085,0.9126157274910577
10.086,0.9116270184042626
10.087,0.910639156863104
10.088000000000001,0.9096521417675913
10.089,0.9086659720184037
10.09,0.9076806465168776
10.091000000000001,0.9066961641650111
10.092,0.9057125238654676
10.093,0.9047297245215643
10.094,0.9037477650372773
10.095,0.9027666443172373
10.096,0.901786361266735
10.097,0.9008069147917093
10.098,0.8998283037987512
10.099,0.898850527195108
10.1,0.897873583888671
10.101,0.8968974727879797
10.102,0.8959221928022256
10.103,0.8949477428412407
10.104000000000001,0.8939741218155007
10.105,0.8930013286361299
10.106,0.8920293622148885
10.107000000000001,0.891058221464177
10.108,0.8900879052970401
10.109,0.8891184126271545
10.11,0.8881497423688351
10.111,0.8871818934370299
10.112,0.8862148647473255
10.113,0.8852486552159355
10.114,0.8842832637597049
10.115,0.8833186892961129
10.116,0.882354930743262
10.117,0.8813919870198818
10.118,0.8804298570453323
10.119,0.8794685397395929
10.120000000000001,0.8785080340232663
10.121,0.8775483388175813
10.122,0.8765894530443825
10.123,0.8756313756261349
10.124,0.8746741054859198
10.125,0.8737176415474398
10.126,0.8727619827350076
10.127,0.8718071279735495
10.128,0.8708530761886097
10.129,0.8698998263063382
10.13,0.8689473772534948
10.131,0.8679957279574531
10.132,0.8670448773461886
10.133000000000001,0.8660948243482831
10.134,0.8651455678929277
10.135,0.8641971069099119
10.136000000000001,0.8632494403296271
10.137,0.8623025670830705
10.138,0.8613564861018337
10.139,0.8604111963181078
10.14,0.8594666966646792
10.141,0.8585229860749348
10.142,0.8575800634828504
10.143,0.856637927822995
10.144,0.8556965780305338
10.145,0.8547560130412175
10.146,0.8538162317913857
10.147,0.8528772332179705
10.148,0.8519390162584856
10.149000000000001,0.8510015798510295
10.15,0.8500649229342898
10.151,0.8491290444475311
10.152000000000001,0.8481939433305995
10.153,0.8472596185239258
10.154,0.8463260689685146
10.155,0.8453932936059491
10.156,0.844461291378387
10.157,0.8435300612285658
10.158,0.8425996020997912
10.159,0.8416699129359413
10.16,0.8407409926814696
10.161,0.8398128402813945
10.162,0.8388854546813023
10.163,0.8379588348273515
10.164,0.8370329796662612
10.165000000000001,0.836107888145315
10.166,0.8351835592123644
10.167,0.8342599918158178
10.168000000000001,0.833337184904644
10.169,0.8324151374283763
10.17,0.8314938483371006
10.171,0.8305733165814615
10.172,0.8296535411126571
10.173,0.8287345208824447
10.174,0.8278162548431294
10.175,0.8268987419475679
10.176,0.8259819811491719
10.177,0.8250659714018975
10.178,0.8241507116602484
10.179,0.8232362008792797
10.18,0.8223224380145866
10.181000000000001,0.8214094220223083
10.182,0.8204971518591314
10.183,0.8195856264822792
10.184000000000001,0.8186748448495149
10.185,0.8177648059191455
10.186,0.8168555086500103
10.187,0.815946952001487
10.188,0.8150391349334865
10.189,0.8141320564064579
10.19,0.8132257153813786
10.191,0.8123201108197565
10.192,0.8114152416836349
10.193,0.8105111069355804
10.194,0.8096077055386872
10.195,0.8087050364565807
10.196,0.8078030986534058
10.197000000000001,0.8069018910938317
10.198,0.8060014127430541
10.199,0.8051016625667855
10.200000000000001,0.8042026395312579
10.201,0.8033043426032268
10.202,0.8024067707499601
10.203,0.8015099229392437
10.204,0.8006137981393763
10.205,0.7997183953191751
10.206,0.7988237134479649
10.207,0.7979297514955813
10.208,0.7970365084323748
10.209,0.7961439832291994
10.21,0.7952521748574165
10.211,0.7943610822888982
10.212,0.7934707044960168
10.213000000000001,0.7925810404516479
10.214,0.7916920891291744
10.215,0.7908038495024754
10.216000000000001,0.7899163205459298
10.217,0.7890295012344196
10.218,0.7881433905433198
10.219,0.7872579874485027
10.22,0.786373290926334
10.221,0.7854892999536776
10.222,0.7846060135078851
10.223,0.7837234305667993
10.224,0.7828415501087574
10.225,0.7819603711125809
10.226,0.7810798925575781
